psi_n,dT_dpsi_native_N_m,two_n_delta_W_native,T_cumulative_native_N_m,two_n_delta_W_cumulative_native,dV_dpsi_n_native
0.849582935,10.2287322,72072.9767,116.168226,32573.3402,1138.61728
0.854054635,10.8253856,72827.4811,116.215153,32897.3081,1148.02921
0.85908994,11.7339187,73740.9106,116.271938,33266.2727,1158.89901
0.864407048,12.5140666,74839.9316,116.336574,33661.2124,1170.73008
0.870394971,12.6803772,76261.8126,116.412498,34113.5108,1184.50303
0.8758783,12.6901954,77762.7527,116.481772,34535.6919,1197.54954
0.880214123,13.1980454,79151.3292,116.537712,34875.7861,1208.17782
0.88359631,13.6968826,80426.8005,116.583248,35145.5889,1216.66981
0.886197185,14.2904245,81566.6497,116.61952,35356.217,1223.32637
0.888130505,15.2499862,82527.6587,116.647977,35514.8227,1228.35097
0.889448938,17.4518834,83260.5222,116.66924,35624.1042,1231.81714
0.890428853,22.3640736,83861.2372,116.688376,35705.9825,1234.415
0.891103221,34.9348112,84317.2595,116.70684,35762.6868,1236.21384
0.891583251,74.223278,84684.0433,116.731046,35803.2477,1237.49988
0.891883243,186.639657,85071.2486,116.76656,35828.7032,1238.30598
0.892087247,528.641241,86056.4072,116.832162,35846.1373,1238.85521
0.892223295,1220.03347,88796.7698,116.943881,35857.9937,1239.22197
0.892323327,1732.98001,91644.7404,117.095413,35867.0252,1239.49188
0.892416989,1618.61665,91733.6629,117.258293,35875.6476,1239.7448
0.892510652,1174.03503,89292.9186,117.38831,35884.1302,1239.99791
0.892604314,864.843629,86859.5593,117.482446,35892.3746,1240.25119
0.892721187,665.667745,84635.9712,117.570346,35902.3883,1240.56751
0.892849665,592.074059,82951.8897,117.649888,35913.1472,1240.91557
0.893025794,650.171598,81382.6127,117.756975,35927.6102,1241.39329
0.893225749,1059.1903,81077.2606,117.919418,35943.8149,1241.93644
0.893395017,1388.78033,83906.6216,118.133129,35957.7181,1242.39692
0.893526064,1115.27988,86795.1906,118.304836,35968.9238,1242.75384
0.89364567,662.595127,87816.8306,118.408848,35979.381,1243.07992
0.893773334,383.694833,87948.4227,118.473921,35990.6039,1243.42832
0.893905026,250.370861,87950.2254,118.514107,36002.1854,1243.78809
0.894080157,166.973874,87959.9814,118.550679,36017.5902,1244.26712
0.894277007,106.796973,87972.7592,118.57649,36034.9048,1244.80637
0.894621841,74.5021377,88082.3147,118.607029,36065.2595,1245.75308
0.895042079,58.0970721,88221.837,118.634352,36102.3043,1246.91042
0.895613125,48.8584535,88395.567,118.664642,36152.7342,1248.48953
0.896470562,43.490216,88603.4539,118.703578,36228.621,1250.87479
0.897471194,42.4866787,88783.8808,118.746609,36317.3756,1253.68043
0.899181549,41.8783294,88985.4321,118.818395,36469.4162,1258.53262
0.901357508,42.9839744,89114.921,118.910627,36663.2054,1264.8104
0.904464678,48.9409583,89172.3998,119.05137,36940.2159,1273.97905
0.908220905,65.417241,89180.5851,119.263366,37275.1834,1285.39505
0.912301661,85.8308867,89189.0961,119.573543,37639.1248,1298.29947
0.915681828,97.2097241,89153.8076,119.884933,37940.5632,1309.45606
0.918342993,106.217752,88980.8032,120.154326,38177.6355,1318.53158
0.920485034,118.568634,88721.0104,120.394088,38367.9688,1326.00966
0.921931505,128.085773,88622.5077,120.572644,38496.2063,1331.12883
0.922023718,128.661373,88623.7225,120.584482,38504.3785,1331.45669
0.922426639,131.002661,88644.3617,120.636809,38540.0904,1332.8911
0.923180712,134.282142,88753.0385,120.736916,38606.9692,1335.58282
0.924344823,133.60165,89181.2353,120.893752,38710.5017,1339.75282
0.925648474,117.653067,90216.8331,121.059681,38827.3611,1344.43543
0.927021897,89.3404444,92056.3775,121.20207,38952.4442,1349.35947
0.928206971,55.3863603,94238.9602,121.289525,39062.7776,1353.57277
0.929040328,0.96534902,96178.6399,121.316407,39142.0907,1356.50217
0.929642289,-114.931533,98038.5317,121.288014,39200.5158,1358.59556
0.93001566,-341.174626,99727.2883,121.210198,39237.4143,1359.88287
0.930255506,-828.135521,101484.925,121.080602,39261.5262,1360.70489
0.930382897,-1851.24642,102824.505,120.923169,39274.5363,1361.13985
0.930422674,-2676.45086,103150.637,120.835183,39278.6338,1361.27543
0.93043485,-3077.61295,103159.416,120.80026,39279.8899,1361.3169
0.930459202,-4304.59445,102657.875,120.711666,39282.3976,1361.39982
0.930482064,-6612.43068,99726.1806,120.590141,39284.7189,1361.47763
0.930497873,-8408.23333,88920.8868,120.47037,39286.2295,1361.53141
0.93050619,-1742.18019,64205.755,120.417901,39286.8872,1361.55969
0.930511605,32664.5655,35623.6346,120.478847,39287.1599,1361.57811
0.930515263,68778.1559,44244.5372,120.666919,39287.2879,1361.59054
0.930518471,75994.8887,81374.0534,120.910229,39287.4875,1361.60145
0.930521453,61400.3287,108673.628,121.116112,39287.7761,1361.61159
0.930525054,44375.5708,122010.363,121.304783,39288.1956,1361.62383
0.930529247,31421.1514,126274.75,121.461305,39288.7184,1361.63808
0.930534623,21980.9366,126405.711,121.602331,39289.3987,1361.65635
0.930542026,15079.6097,124629.207,121.736761,39290.3282,1361.68151
0.930550443,10962.0355,122534.866,121.844682,39291.3681,1361.71011
0.930563327,7612.10608,120067.88,121.961909,39292.9299,1361.75387
0.930578666,5564.97085,118031.956,122.061448,39294.7551,1361.80596
0.930598918,4095.82543,116217.42,122.157772,39297.1259,1361.87471
0.930626978,3006.79243,114568.156,122.255875,39300.3621,1361.9699
0.930658941,2326.09818,113330.765,122.340125,39304.003,1362.07827
0.930709537,1728.76727,112045.837,122.441105,39309.7021,1362.24964
0.930769931,1347.77704,111069.556,122.532945,39316.4375,1362.45395
0.930849925,1064.5476,110230.681,122.628344,39325.2863,1362.72411
0.930960537,848.086595,109506.012,122.732971,39337.4358,1363.09684
0.931086458,708.885666,109009.0,122.830243,39351.191,1363.51994
0.931284155,583.070307,108590.103,122.956759,39372.6949,1364.18154
0.931520768,495.749647,108410.24,123.083604,39398.3626,1364.96885
0.931835213,417.212626,108456.912,123.226565,39432.4527,1366.0071
0.932254621,331.305339,108628.86,123.383241,39477.98,1367.37661
0.932726511,254.732544,108398.478,123.520303,39529.2153,1368.89484
0.933283391,205.882381,107316.225,123.64639,39589.314,1370.65284
0.93389409,189.649419,105425.771,123.765971,39654.3041,1372.53485
0.934612428,194.144289,102411.664,123.902646,39729.0068,1374.68097
0.935618411,232.56089,96439.8586,124.114187,39829.2151,1377.54987
0.936768215,338.224907,86404.0437,124.434532,39934.7024,1380.60946
0.938754646,592.444109,60688.8616,125.358443,40082.4667,1385.27578
0.940890091,447.655636,25537.7037,126.618291,40175.2753,1389.37948
0.94332356,-191.512536,-13892.6127,126.928368,40188.2259,1392.86767
0.94575703,-301.917131,-47257.5313,126.115121,40112.5808,1395.18193
0.9481905,76.5047244,-71596.4857,125.855471,39965.5478,1396.59705
0.95062397,161.186517,-83241.7955,126.249196,39774.4215,1397.43192
0.953338994,7.20026323,-87767.1285,126.460112,39541.8405,1398.15356
0.956194794,-4.39188808,-92389.3195,126.412098,39285.0101,1399.11968
0.956272264,-1.90585908,-92529.8513,126.411856,39277.8471,1399.15081
0.956547537,5.80719638,-92988.3675,126.412418,39252.3126,1399.26386
0.957341846,25.5378572,-94183.7178,126.424996,39177.9635,1399.61271
0.958537966,44.5222577,-95574.4579,126.468741,39064.4243,1400.20699
0.960025839,46.3870651,-96787.9519,126.538912,38921.2719,1401.07195
0.961743364,34.6270018,-98109.7402,126.609081,38753.941,1402.25935
0.963920194,28.9294176,-100562.893,126.673956,38537.9208,1404.07975
0.966097024,37.8569454,-103823.582,126.745642,38315.5384,1406.25803
0.968273854,47.4830617,-107376.334,126.839279,38085.6963,1408.79423
0.970450684,59.1480894,-111795.686,126.953847,37847.4296,1411.69936
0.972500658,77.2931853,-117503.977,127.092574,37612.6775,1414.78616
0.974296918,96.6624702,-123661.582,127.248632,37396.2128,1417.78303
0.976093178,115.515988,-130575.158,127.439527,37167.9681,1421.0687
0.977579951,130.354988,-136511.17,127.622267,36969.409,1424.02394
0.978967922,140.023971,-141934.538,127.810906,36776.1537,1426.98893
0.980088633,143.402258,-145718.128,127.969901,36614.8664,1429.53638
0.980428137,141.253352,-146592.386,128.018385,36565.24,1430.33618
0.980465248,140.929115,-146674.149,128.02362,36559.7982,1430.42443
0.980656283,140.461362,-147040.687,128.050497,36531.7418,1430.88128
0.981011846,140.035399,-147412.911,128.100341,36479.3801,1431.74361
0.981449672,140.91236,-147089.49,128.161776,36414.8728,1432.82796
0.982086179,149.596791,-144336.937,128.25359,36321.9611,1434.45167
0.982687171,171.630486,-138498.304,128.349304,36236.7922,1436.04
0.983151074,214.127598,-134684.154,128.437295,36173.5868,1437.30526
0.983468169,265.532817,-141276.773,128.512857,36130.2454,1438.19088
0.983686699,469.325352,-186394.231,128.58725,36095.7248,1438.81146
0.983813744,811.759825,-291949.655,128.66588,36066.5855,1439.17619
0.983891297,2914.94763,-615004.5,128.78693,36034.2953,1439.40029
0.983927384,7718.02241,-1155031.0,128.960866,36004.0779,1439.50495
0.983949528,29872.4193,-2423266.8,129.312925,35967.2691,1439.56929
0.983961425,70713.5231,-2941223.86,129.87237,35934.2248,1439.60389
0.983969654,87941.4344,-1482599.72,130.558931,35914.0725,1439.62784
0.983976246,69821.5447,375581.217,131.092302,35910.9164,1439.64704
0.983982837,44670.036,1274969.27,131.463924,35916.9171,1439.66624
0.983990589,26570.239,1499995.43,131.733111,35927.9727,1439.68883
0.983998341,16830.5372,1437616.67,131.897466,35939.4301,1439.71144
0.984010518,9232.59851,1245738.32,132.050061,35955.7828,1439.74697
0.984022696,5757.21256,1068885.25,132.139061,35969.8311,1439.78253
0.98404383,2946.03428,846858.402,132.226521,35989.9115,1439.84431
0.984064965,1788.52696,699717.051,132.275236,36006.1543,1439.90618
0.984100217,906.496672,542071.537,132.32024,36027.8053,1440.00956
0.98413547,557.178324,444773.969,132.345408,36045.0823,1440.11318
0.984196,289.926232,340720.369,132.369552,36068.5657,1440.29165
0.98425653,195.541565,278742.112,132.383995,36087.1789,1440.47082
0.98436252,130.55053,213539.833,132.400272,36112.9155,1440.78627
0.98446851,120.505673,177698.126,132.41361,36133.4823,1441.10392
0.984670337,147.771098,145967.434,132.439,36165.5209,1441.71496
0.984872164,249.556284,144058.807,132.478272,36194.4091,1442.33426
0.985179932,674.571754,194373.295,132.608555,36244.6405,1443.29494
0.985487699,2350.7881,357076.265,133.021854,36325.5823,1444.27591
0.985737223,9522.74116,824385.218,134.295823,36461.6105,1445.08663
0.985882972,43448.6082,1770529.69,137.504501,36638.2416,1445.56691
0.985953236,162196.77,3152289.64,143.681559,36803.2484,1445.80031
0.985994123,463702.494,2371330.64,155.248092,36929.66,1445.9367
0.986020114,632816.11,-1275658.58,170.092205,36952.0952,1446.02362
0.986042959,522406.884,-4230157.84,183.81505,36881.9162,1446.10016
0.986065804,321639.603,-4419308.88,193.273063,36779.8762,1446.17683
0.986091131,192902.774,-3658855.52,199.617861,36677.4686,1446.262
0.986121419,115397.912,-2852683.52,204.14547,36579.5365,1446.36407
0.986158582,70775.8966,-2188459.82,207.505142,36486.8515,1446.48963
0.986209492,42688.5161,-1649620.51,210.3001,36390.4512,1446.66225
0.986273783,27048.1069,-1273673.14,212.478103,36297.6733,1446.88123
0.986364836,17297.0379,-991944.981,214.436603,36195.94,1447.19331
0.986477013,12166.6114,-815550.196,216.05213,36095.6082,1447.58101
0.986631438,9132.54138,-692498.557,217.663208,35980.265,1448.12069
0.986820892,7687.28525,-618310.766,219.234999,35856.8689,1448.79258
0.987080404,7129.07729,-568222.928,221.136371,35703.6879,1449.73131
0.987470155,7400.03349,-533100.161,223.94336,35489.9153,1451.18355
0.987925026,8300.91997,-512283.051,227.503197,35252.5319,1452.9478
0.988527945,10108.1206,-492796.596,233.010696,34949.6992,1455.40939
0.989204887,13204.9779,-472625.399,240.834084,34622.9251,1458.34845
0.990053801,18165.0495,-440755.767,254.103042,34234.314,1462.31222
0.990144797,18742.8496,-436644.285,255.782098,34194.3944,1462.75746
