  -0.0000000000000000       -0.0000000000000000        3.1968256794302761        0.0000000000000000        1.0689912213448676        0.0000000000000000        0.0000000000000000     
   3.1690846782087920E-003   2.6032950317892130E-003  -137.76156736225448       -150.68616248727488        1.0690320525543093        2552.1498467155557        807.35316335479865     
   6.3421101965135179E-003   5.2099571502240895E-003  -561.33810632660470       -603.52448845013646        1.0691332342675568        5107.1051043115522        1615.7370164328590     
   9.5186598254964217E-003   7.8197525873766570E-003  -1268.4744612061663       -1359.6045792622742        1.0692947664846100        7664.2058155382983        2425.0704298529308     
   1.2698313932389200E-002   1.0432429186294404E-002  -2259.9637646071046       -2419.9003630466473        1.0694994295746303        10222.934674407828        3235.2658573110962     
   1.5880741164990327E-002   1.3047766343778199E-002  -3536.4895752588222       -3785.2880655761301        1.0697251613208678        12783.037069065658        4046.2488389710011     
   1.9065721401574292E-002   1.5665591875852865E-002  -5098.6772805359169       -5456.5760159585952        1.0699510693098400        15344.510102846525        4857.9633123115937     
   2.2253155385150210E-002   1.8285798583547994E-002  -6947.1496293613891       -7434.5460741889074        1.0701621539008002        17907.524441831778        5670.3760206185916     
   2.5443071643548566E-002   2.0908363096878251E-002  -9082.5856324641391       -9720.0088592691427        1.0703494622370742        20472.367112162938        6483.4813251497180     
   2.8635626991144386E-002   2.3533357932628989E-002  -11505.778152729326       -12313.865180483974        1.0705091773653352        23039.398300861518        7297.3040071914374     
   3.1831066943678571E-002   2.6160930380462227E-002  -14217.656086483836       -15217.137466154674        1.0706434530933755        25608.946534289131        8111.8918953386492     
   3.5029659602945032E-002   2.8791259760169448E-002  -17219.259291046179       -18430.958847265068        1.0707597651771037        28181.209595655448        8927.3019167498769     
   3.8231651993404107E-002   3.1424529314089511E-002  -20511.702083296503       -21956.552806311560        1.0708683094822069        30756.235922800253        9743.5909737879847     
   4.1437244254994440E-002   3.4060906322526473E-002  -24096.133985578828       -25795.205585414777        1.0709789253105770        33333.967238554484        10560.809766255014     
   4.4646573362287015E-002   3.6700524918333831E-002  -27973.698446446531       -29948.229017828948        1.0710994201696309        35914.282059751196        11378.997664376961     
   4.7859703979001432E-002   3.9343472680685408E-002  -32145.492274828775       -34416.917830763581        1.0712350272004683        38497.027137233556        12198.178845818738     
   5.1076637263043970E-002   4.1989791343859620E-002  -36612.545760332679       -39202.523773313384        1.0713880499933186        41082.064098435818        13018.362840307771     
   5.4297335744582710E-002   4.4639490967692680E-002  -41375.831953253408       -44306.256867010743        1.0715581795582922        43669.307111344169        13839.549214363671     
   5.7521744216547495E-002   4.7292562622790593E-002  -46436.282915626114       -49729.293461405701        1.0717435280240073        46258.723145293123        14661.731693802793     
   6.0749804644459331E-002   4.9948988831192274E-002  -51794.807071139439       -55472.788223824136        1.0719417837269962        48850.309057376951        15484.901423628293     
   6.3981466942888476E-002   5.2608752848101376E-002  -57452.307220195784       -61537.890784680807        1.0721509784688001        51444.068961413461        16309.049788027616     
   6.7216696384200164E-002   5.5271846401534902E-002  -63409.698069302773       -67925.765168719256        1.0723698514834543        54039.999140615939        17134.170774629049     
   7.0455474514039482E-002   5.7938272536162488E-002  -69667.914972555431       -74637.602120437718        1.0725979741699023        56638.075347953803        17960.261832936310     
   7.3697793568429787E-002   6.0608042961112094E-002  -76227.909752844484       -81674.618661347879        1.0728356051537973        59238.247844930520        18787.323031757867     
   7.6943650865151467E-002   6.3281174688867903E-002  -83090.643439836436       -89038.053785943834        1.0730833421464774        61840.449725941369        19615.356013466349     
   8.0193044446723552E-002   6.5957686857756007E-002  -90257.078771890912       -96729.162315344191        1.0733418115136948        64444.608329354131        20444.363036045961     
   8.3445969714684654E-002   6.8637597811588097E-002  -97728.172640467979       -104749.20727586871        1.0736115266731827        67050.651027336251        21274.346114294542     
   8.6702416977073121E-002   7.1320922693053984E-002  -105504.86891217581       -113099.45182115253        1.0738928256988112        69658.508456999683        22105.306305049056     
   8.9962370966585520E-002   7.4007672572017569E-002  -113588.09487689899       -121781.15447882631        1.0741858487221376        72268.117455242565        22937.243439153255     
   9.3225812557938381E-002   7.6697855437386955E-002  -121978.76317870611       -130795.57012034103        1.0744905897382531        74879.420882166305        23770.156418843228     
   9.6492720618824732E-002   7.9391477498621951E-002  -130677.77504541646       -140143.95272754077        1.0748069972611247        77492.363411795188        24604.043607931031     
   9.9763073493929641E-002   8.2088544392951907E-002  -139686.02350455819       -149827.55874459015        1.0751350388562944        80106.888423680255        25438.903188452114     
  0.10303685017299155        8.4789062224122386E-002  -149004.39650095621       -159847.65066045779        1.0754747123826573        82722.937858307603        26274.733464411740     
  0.10631403115638588        8.7493038353016930E-002  -158633.77975572788       -170205.50037412372        1.0758260385835647        85340.453156961012        27111.533093008642     
  0.10959459867476351        9.0200481650206207E-002  -168575.05811740321       -180902.39097373682        1.0761890666066800        87959.374728820447        27949.301156368547     
  0.11287853613883665        9.2911402113888542E-002  -178829.11459745120       -191939.61607937946        1.0765638711440559        90579.641464310844        28788.037047820562     
  0.11616582751457392        9.5625810394633554E-002  -189396.82886049288       -203318.47851635361        1.0769505320167680        93201.191744901851        29627.740333779257     
  0.11945645681763684        9.8343717381301862E-002  -200279.07576982395       -215040.28891402681        1.0773491260110668        95823.963735779558        30468.410635621014     
  0.12275040771658775       0.10106513387037712       -211476.72402810710       -227106.36438045706        1.0777597304409490        98447.894806484197        31310.047536214908     
  0.12604766323756672       0.10379007033074222       -222990.63495687352       -239518.02737773224        1.0781824292757491        101072.92074208125        32152.650514220357     
