m,s_tor,tangential_current,rational_s_tor
4,4.2944355222680766e-05,0.04291864189071282,0.3367832353310154
4,0.00017176979397226936,0.002394965535011297,0.3367832353310154
4,0.0003864619665457989,0.0006446348604348545,0.3367832353310154
4,0.0006870164346594247,0.0001668818628919881,0.3367832353310154
4,0.0010733980386975206,5.463347211730656e-05,0.3367832353310154
4,0.0015455947684413502,5.4549957266757096e-05,0.3367832353310154
4,0.002103595899582695,3.143960562348836e-05,0.3367832353310154
4,0.002747400299743042,1.596535104224702e-05,0.3367832353310154
4,0.0034770757855094943,4.0444081527130615e-05,0.3367832353310154
4,0.0042927087149518435,1.533283274320935e-05,0.3367832353310154
4,0.005194413333782453,2.058503303791101e-05,0.3367832353310154
4,0.006182324233385497,1.4192276993284892e-05,0.3367832353310154
4,0.0072565635800214,1.6702627298765094e-05,0.3367832353310154
4,0.00841725324054319,1.5480145678379808e-05,0.3367832353310154
4,0.009664506269285944,1.7030958680221194e-05,0.3367832353310154
4,0.010998394966203287,1.9547865438574945e-05,0.3367832353310154
4,0.012419072582074258,2.0974438247782176e-05,0.3367832353310154
4,0.01392669054584782,2.2734499084685918e-05,0.3367832353310154
4,0.015521405547768636,2.0369613055237517e-05,0.3367832353310154
4,0.0172033857191583,2.0045663830265024e-05,0.3367832353310154
4,0.0189727021847418,1.7939179736147998e-05,0.3367832353310154
4,0.020829572710734538,1.6354779556718273e-05,0.3367832353310154
4,0.022774196115819472,2.4763311915482158e-05,0.3367832353310154
4,0.02480671847745201,2.922444893445614e-05,0.3367832353310154
4,0.026927227780715608,4.1426253132872634e-05,0.3367832353310154
4,0.02913574724234042,4.293536021362371e-05,0.3367832353310154
4,0.03143239652818393,5.500634825000886e-05,0.3367832353310154
4,0.03381726723966916,4.587194694847558e-05,0.3367832353310154
4,0.036290384299235645,5.588317859942484e-05,0.3367832353310154
4,0.03885180195414484,4.661859621757962e-05,0.3367832353310154
4,0.04150158555289751,6.351938854969649e-05,0.3367832353310154
4,0.04423978261118174,5.5043539328604415e-05,0.3367832353310154
4,0.04706645771619468,5.46435828042551e-05,0.3367832353310154
4,0.04998165788281512,5.875809684284173e-05,0.3367832353310154
4,0.05298546256304724,6.787897187374273e-05,0.3367832353310154
4,0.05607800422442588,7.342351856497229e-05,0.3367832353310154
4,0.05925928910152643,8.167149860118487e-05,0.3367832353310154
4,0.06252956210545951,9.211814811242304e-05,0.3367832353310154
4,0.06588902229588271,9.460051905558279e-05,0.3367832353310154
4,0.06933783681508719,9.460476559958504e-05,0.3367832353310154
4,0.0728761410254767,8.535556517726622e-05,0.3367832353310154
4,0.07650401932404576,9.133441080011338e-05,0.3367832353310154
4,0.08022157781192936,7.95674520685663e-05,0.3367832353310154
4,0.0840288968205672,7.322370802965266e-05,0.3367832353310154
4,0.08792603726000324,8.11462825395677e-05,0.3367832353310154
4,0.09191309235566952,8.182697123837516e-05,0.3367832353310154
4,0.09599000033775607,7.697823125625607e-05,0.3367832353310154
4,0.10015662617915198,7.5318476338267e-05,0.3367832353310154
4,0.10441333418471553,6.933120009061532e-05,0.3367832353310154
4,0.1087602020175796,5.316335788595262e-05,0.3367832353310154
4,0.11319730663948761,7.561245815012341e-05,0.3367832353310154
4,0.11772471458311304,5.267809558832847e-05,0.3367832353310154
4,0.12234179519920114,8.324365684833918e-05,0.3367832353310154
4,0.12704905220651588,0.00022413407883095158,0.3367832353310154
4,0.13184690732620769,0.00037758476086493603,0.3367832353310154
4,0.13673596546824132,0.0001363516385427985,0.3367832353310154
4,0.14171650447194542,0.0001323671467708867,0.3367832353310154
4,0.14678852599347908,0.00012422385221690685,0.3367832353310154
4,0.15195011179042323,0.00012875566111494955,0.3367832353310154
4,0.15720282979996672,0.00013133457375271546,0.3367832353310154
4,0.1625468506127396,0.0001814097283582564,0.3367832353310154
4,0.16798247131161337,0.00020233207491622944,0.3367832353310154
4,0.17351002423767498,0.0002002139000315467,0.3367832353310154
4,0.17912980593208874,0.0002272101168310896,0.3367832353310154
4,0.18484124893355594,0.00022611643340319967,0.3367832353310154
4,0.1906435999439426,0.0002561191691690019,0.3367832353310154
4,0.19653894116821566,0.00030818925193630466,0.3367832353310154
4,0.2025276381192934,0.00037394195336218935,0.3367832353310154
4,0.20861015970515095,0.0004334108780000424,0.3367832353310154
4,0.21478699225120562,0.0005081029684189254,0.3367832353310154
4,0.22105868785107977,0.0006248242903597085,0.3367832353310154
4,0.22742576480058438,0.0007476309382626225,0.3367832353310154
4,0.23388902073008344,0.0006670209670459572,0.3367832353310154
4,0.2404486273705157,0.0004290048365515247,0.3367832353310154
4,0.24710411945181507,0.0005235610304703918,0.3367832353310154
4,0.2538557426019184,0.0004644880092701704,0.3367832353310154
4,0.2607028176316855,0.00046575427588130253,0.3367832353310154
4,0.2676442059552339,0.00045357372125368343,0.3367832353310154
4,0.27467798979204894,0.00045421647591690855,0.3367832353310154
4,0.2818010423226586,0.00041421596919698943,0.3367832353310154
4,0.2890082891152869,0.0004563836169307795,0.3367832353310154
4,0.29629072097857284,0.0004973558356941972,0.3367832353310154
4,0.30363068519095227,0.0005419925757728636,0.3367832353310154
4,0.31099028582264837,0.0006022115741462531,0.3367832353310154
4,0.3182754370659802,0.0007960385730866214,0.3367832353310154
4,0.3252155562679019,0.001122474485251415,0.3367832353310154
4,0.33100678814997553,0.001711023298709979,0.3367832353310154
4,0.33410768925440515,0.0018452792977403654,0.3367832353310154
4,0.3353646279442493,0.0019274918362834966,0.3367832353310154
4,0.3359538770478608,0.002036246501293677,0.3367832353310154
4,0.3363570523532288,0.0020587769485055597,0.3367832353310154
4,0.33669416698071575,0.0019926298804251595,0.3367832353310154
4,0.3370307496287049,0.002137404361127896,0.3367832353310154
