component,rho_pol,mars_rms,neort_rms,relative_residual
J1,0.00350259185,1198.6343733829183,1198.6126230497189,0.0003472539837548215
J1,0.01050778535,145.75860831825,145.75256585104805,0.0003399871755168258
J1,0.0175129985,0.14468352859102834,0.1446774563698449,0.00012059215823678274
J1,0.0245182535,0.044362154749797024,0.04436058786751407,0.0001125148732606993
J1,0.0315236295,0.037132220638286605,0.037131141961558686,0.00010162145048394163
J1,0.038529232,0.03742845650592168,0.037427520202855426,9.596654770946239e-05
J1,0.0455351375,0.0396963006987643,0.0396954149406408,9.254807400011538e-05
J1,0.052541405,0.0427513645437143,0.042750497465189725,9.126494300571907e-05
J1,0.0595481075,0.04617356523169914,0.04617266436178407,8.682551838293441e-05
J1,0.0665553585,0.04975993065940468,0.04975904453604868,8.532315856243047e-05
J1,0.0735632275,0.053415235333858384,0.05341431656817362,8.326841988424435e-05
J1,0.080571743,0.057065823858867555,0.057064982785138205,8.290366217707134e-05
J1,0.0875809675,0.06067355850352624,0.06067261473225254,8.08140207069562e-05
J1,0.094591013,0.06419405169525413,0.0641932347619201,7.905502350558122e-05
J1,0.1016019605,0.06762221031004392,0.06762141162660484,7.785810198312988e-05
J1,0.108613825,0.07091581251845179,0.07091500427601266,7.461280114286431e-05
J1,0.115626645,0.07406412249775424,0.07406335531184474,7.327345400467209e-05
J1,0.1226405,0.07705767156820487,0.07705699917646114,7.242816742578356e-05
J1,0.129655505,0.07987959523621531,0.07987898149829505,6.941312768798618e-05
J1,0.136671685,0.08252504295048688,0.08252429289842271,6.781891449183232e-05
J1,0.143689035,0.08498361861071399,0.08498332737595854,6.783831722550187e-05
J1,0.150707605,0.0872571750047731,0.08725655590647273,6.524525879196602e-05
J1,0.15772754,0.0893229276381303,0.08932284786331349,6.358443593449044e-05
J1,0.16474888999999998,0.09120153915761466,0.09120119564963534,5.9912150738039826e-05
J1,0.1717716,0.092866248191647,0.09286616270456181,5.7919693206379606e-05
J1,0.17879571500000002,0.09438959983193204,0.09439006069507379,5.9445172386998255e-05
J1,0.18582135,0.09566257573225616,0.09566238613923221,5.407826437537938e-05
J1,0.19284859,0.09674953472270041,0.0967501282231549,5.316413622231218e-05
J1,0.19987739999999998,0.09763131100747827,0.09763197468374915,5.203902626142008e-05
J1,0.20690777500000002,0.09834038866670845,0.09834087368158605,4.809154388601881e-05
J1,0.21393978,0.09884950917639036,0.09885039881705791,4.9229136992541327e-05
J1,0.220973535,0.0992135293021407,0.09921425194784385,4.651368467648083e-05
J1,0.22800903,0.09942252650774326,0.09942419707947747,5.564054115205269e-05
