  3.5060944468550000E-03   0.0000000000000000E+00   0.0000000000000000E+00
  1.0507785605000000E-02   0.0000000000000000E+00   0.0000000000000000E+00
  1.7512998950000001E-02   0.0000000000000000E+00   0.0000000000000000E+00
  2.4518253849999998E-02   0.0000000000000000E+00   0.0000000000000000E+00
  3.1523629599999999E-02  -1.2342691523824928E-04  -8.1147520474378671E-05
  3.8529232149999995E-02  -9.7444066287948611E-05  -9.8263185863937581E-05
  4.5535137800000000E-02  -9.8483244147131872E-05  -1.0165953553809949E-04
  5.2541404900000005E-02  -1.0591960692644552E-04  -1.0733211067999164E-04
  5.9548107449999998E-02  -1.1569108919474796E-04  -1.1604280092912964E-04
  6.6555358749999988E-02  -1.2597256892902305E-04  -1.2578887487330729E-04
  7.3563227699999997E-02  -1.3575588675587011E-04  -1.3536978391824234E-04
  8.0571743299999998E-02  -1.4468836453344067E-04  -1.4429259367727121E-04
  8.7580967650000008E-02  -1.5282163956191705E-04  -1.5244119927913341E-04
  9.4591013050000006E-02  -1.6023525779660004E-04  -1.5978772208819630E-04
  1.0160196060000001E-01  -1.6675605583065604E-04  -1.6624592405858565E-04
  1.0861382350000001E-01  -1.7217086559141316E-04  -1.7177790812922353E-04
  1.1562664150000000E-01  -1.7677780572970716E-04  -1.7653825180674956E-04
  1.2264049800000000E-01  -1.8103619689421185E-04  -1.8067803718872311E-04
  1.2965550349999999E-01  -1.8461745015281182E-04  -1.8405819183451788E-04
  1.3667168450000000E-01  -1.8695886308550628E-04  -1.8644750032502120E-04
  1.4368903599999999E-01  -1.8824163217370321E-04  -1.8786432744781598E-04
  1.5070760400000000E-01  -1.8882937809442096E-04  -1.8846879755254027E-04
  1.5772753700000000E-01  -1.8870801203471494E-04  -1.8833033059806873E-04
  1.6474888700000001E-01  -1.8781781771159568E-04  -1.8744582415335676E-04
  1.7177160050000001E-01  -1.8619505695171749E-04  -1.8581096468805832E-04
  1.7879571700000002E-01  -1.8378654736504450E-04  -1.8342508230453745E-04
  1.8582135050000001E-01  -1.8065544863321670E-04  -1.8032463163825075E-04
  1.9284858950000000E-01  -1.7683684552040183E-04  -1.7659401233749289E-04
  1.9987740100000001E-01  -1.7250961779391794E-04  -1.7239053947554439E-04
  2.0690777500000002E-01  -1.6802897041119877E-04  -1.6785806760597052E-04
  2.1393978000000000E-01  -1.6323117510470933E-04  -1.6294979789121725E-04
  2.2097353600000000E-01  -1.5782891303210215E-04  -1.5752925778540552E-04
  2.2800903150000001E-01  -1.5176927411525367E-04  -1.5157848714648274E-04
  2.3504619300000001E-01  -1.4532582309986642E-04  -1.4523343398551727E-04
