source,component,s_tor,rho_tor,dT_phi_ds_N_m,cumulative_T_phi_N_m
mars_native_staggered,total,2.1472177611340383e-05,0.004633808111191095,nan,nan
mars_native_staggered,total,0.00010735707459747507,0.01036132590923937,58514217.98032235,7538.119804404092
mars_native_staggered,total,0.00027911588025903415,0.016706761513202797,-2636926.528303308,6971.99231912588
mars_native_staggered,total,0.0005367392006026118,0.023167632606777323,815086.9703512654,7216.970349966152
mars_native_staggered,total,0.0008802072366784726,0.029668286716264435,-234711.48600570462,7126.282149517103
mars_native_staggered,total,0.0013094964035694355,0.03618696455312929,65677.73570580775,7157.294961534365
mars_native_staggered,total,0.0018245953340120225,0.04271528220686389,-18092.60100269662,7147.199269709571
mars_native_staggered,total,0.0024254980996628686,0.04924934618513091,4964.977973704663,7150.395744375742
mars_native_staggered,total,0.003112238042626268,0.05578743624353308,-1336.9791360188135,7149.4201834752075
mars_native_staggered,total,0.0038848922502306687,0.06232890381059712,374.6581220984296,7149.725766976874
mars_native_staggered,total,0.004743561024367148,0.06887351467993447,-87.94900476621758,7149.646462953055
mars_native_staggered,total,0.005688368783583975,0.07542127540411905,37.22478703535213,7149.6832377259025
mars_native_staggered,total,0.006719443906703449,0.0819722142356997,2.803306743949729,7149.686249148307
mars_native_staggered,total,0.007836908410282296,0.08852631478991033,11.924900082063411,7149.700090256535
mars_native_staggered,total,0.009040879754914567,0.09508354092541235,9.13925411300465,7149.711489218908
mars_native_staggered,total,0.010331450617744615,0.10164374362322855,9.516850903970253,7149.724183638759
mars_native_staggered,total,0.011708733774138773,0.10820690261780333,8.608380810666613,7149.736413372686
mars_native_staggered,total,0.013172881563961038,0.1147731744091843,8.043930077990762,7149.748540546171
mars_native_staggered,total,0.014724048046808227,0.12134268847692566,7.7456714321055085,7149.760892684604
mars_native_staggered,total,0.016362395633463468,0.12791558010447152,7.379953611134286,7149.773305620244
mars_native_staggered,total,0.01808804395195005,0.13449179882784695,6.814855516710082,7149.78536325632
mars_native_staggered,total,0.01990113744773817,0.14107139131566743,6.30455801352113,7149.797070004275
mars_native_staggered,total,0.021801884413277003,0.1476546118930154,7.267511023689749,7149.8112025763085
mars_native_staggered,total,0.02379045729663574,0.15424155502534245,7.667516889456428,7149.826786975845
mars_native_staggered,total,0.025866973129083808,0.1608321271670676,7.644612346999126,7149.842997447447
mars_native_staggered,total,0.028031487511528015,0.16742606580675548,7.3011879678865625,7149.859122263167
mars_native_staggered,total,0.030284071885262172,0.17402319352678874,8.970689208308563,7149.87972479013
mars_native_staggered,total,0.03262483188392654,0.1806234533052852,8.795262950509281,7149.9007003551405
mars_native_staggered,total,0.0350538257694524,0.1872266694930303,8.259563379872043,7149.92112722224
mars_native_staggered,total,0.03757109312669024,0.1938326420567244,7.265745138267638,7149.939737830114
mars_native_staggered,total,0.040176693753521175,0.2004412476351142,7.945441738737385,7149.960791531318
mars_native_staggered,total,0.04287068408203963,0.20705237038498167,10.325388162201895,7149.989064478809
mars_native_staggered,total,0.04565312016368821,0.21366590781799563,7.48345536696192,7150.010217775794
mars_native_staggered,total,0.0485240577995049,0.22028176910381145,7.105198121138692,7150.030930850541
mars_native_staggered,total,0.05148356022293118,0.2268998903105314,7.768332142042016,7150.054265402987
mars_native_staggered,total,0.054531733393736556,0.23352030617001288,7.65438560866569,7150.077936909374
mars_native_staggered,total,0.05766864666297616,0.24014297129621795,6.27793810016803,7150.0979088189115
mars_native_staggered,total,0.06089442560349297,0.24676795902931356,5.925278826270333,7150.117286098298
mars_native_staggered,total,0.06420929220067112,0.25339552521832565,5.6071560255131425,7150.136123115747
mars_native_staggered,total,0.06761342955548495,0.2600258247857027,5.149799449220617,7150.153883818859
mars_native_staggered,total,0.07110698892028194,0.26665893744684793,4.977153859792461,7150.171494503317
mars_native_staggered,total,0.07469008017476123,0.27329485940054055,4.591670425457025,7150.188152524808
mars_native_staggered,total,0.07836279856798756,0.2799335609890096,3.321915409981572,7150.2005019396365
mars_native_staggered,total,0.08212523731624828,0.28657501167451477,3.3197977320917014,7150.213141468646
mars_native_staggered,total,0.08597746704028522,0.2932191450780205,2.13852549301623,7150.221475602826
mars_native_staggered,total,0.08991956480783639,0.2998659113801307,0.1360409612649111,7150.222018005634
mars_native_staggered,total,0.0939515463467128,0.3065151649538939,0.25438648333828867,7150.223055115918
mars_native_staggered,total,0.09807331325845403,0.3131665902653954,-0.6424953932612194,7150.22037807801
mars_native_staggered,total,0.10228498018193376,0.3198202310391476,-1.9871025897046435,7150.211919562508
mars_native_staggered,total,0.10658676810114756,0.326476290258799,-0.5735111766306947,7150.209426585223
mars_native_staggered,total,0.1109787543285336,0.33313473899990315,-3.1027112415529094,7150.195659530833
mars_native_staggered,total,0.11546101061130032,0.3397955423652587,-2.0872785300700474,7150.186209569435
mars_native_staggered,total,0.1200332548911571,0.34645815748969905,-4.959892978538302,7150.163309343706
mars_native_staggered,total,0.12469542370285852,0.35312239195901823,5.6293625317320775,7150.18980819993
mars_native_staggered,total,0.1294479797663618,0.3597887988339295,-16.9916744048148,7150.108284607894
mars_native_staggered,total,0.13429143639722452,0.3664579599315923,-4.384179232183697,7150.0868501007235
mars_native_staggered,total,0.13922623497009337,0.37313031901748933,6.871670878574599,7150.1210747255545
mars_native_staggered,total,0.14425251523271226,0.3798058915192236,-11.812530767639121,7150.061161315277
mars_native_staggered,total,0.14936931889195115,0.38648327116700815,0.8932788817892966,7150.065772050866
mars_native_staggered,total,0.154576470795195,0.39316214313587594,-2.827121628614705,7150.0509219781725
mars_native_staggered,total,0.15987484020635317,0.39984351965031667,-2.3492899719130556,7150.038367323667
mars_native_staggered,total,0.16526466096217649,0.40652756482454727,-5.229983820190048,7150.00993911536
mars_native_staggered,total,0.17074624777464417,0.4132145299655424,-0.37560904441805987,7150.007862916487
mars_native_staggered,total,0.17631991508488187,0.41990464999197363,-2.033707442150049,7149.996433924632
mars_native_staggered,total,0.18198552743282234,0.42659761770645455,-2.2432756229712423,7149.983621583774
mars_native_staggered,total,0.18774242443874928,0.43329253909887405,0.6181495409497252,7149.987208304387
mars_native_staggered,total,0.1935912705560791,0.43999008006553864,-0.13861408197689154,7149.986391127076
mars_native_staggered,total,0.19953328964375452,0.4466914926923889,-1.4004996739761704,7149.978003958949
mars_native_staggered,total,0.2055688989122222,0.4533970653987762,-1.2120505488501814,7149.970631635322
mars_native_staggered,total,0.2116985759781783,0.4601071353263045,-0.37687329273613795,7149.968303752102
mars_native_staggered,total,0.2179228400511427,0.46682206465755527,0.4295106411100933,7149.9709975120995
mars_native_staggered,total,0.22424222632583207,0.4735422117676861,-4.367710232132225,7149.943187964958
